,nome,ratio,genero_real,genero_predito_SVM,genero_predito_CNN,genero_predito_BiLSTM
11146,ceilma,1.0,F,F,1,1
61245,nalberth,1.0,M,M,1,1
48532,katina,1.0,F,F,0,1
81098,vannessa,1.0,F,F,1,1
60318,mohana,1.0,F,F,1,1
44516,joelize,1.0,F,F,0,1
61478,nariele,1.0,F,F,0,1
83114,weid,0.6031746031746031,M,M,1,1
5752,anaurelino,1.0,M,M,1,1
66346,ozeas,0.989835430784124,M,M,1,1
51713,leivas,1.0,M,M,1,1
8950,averalda,1.0,F,F,1,1
49695,keyllane,1.0,F,F,1,1
43223,jesue,1.0,M,M,1,1
69016,renar,1.0,M,M,0,1
86464,cir,1.0,M,M,1,1
8958,avestil,1.0,M,M,1,1
30857,gene,0.6918032786885245,F,F,1,1
68733,regislane,1.0,F,F,0,1
72653,saele,1.0,F,F,0,1
73438,schirley,1.0,F,F,0,1
50490,lainna,1.0,F,F,1,1
83087,wedley,1.0,M,M,1,1
85293,zelidia,1.0,F,F,1,1
88658,errisson,1.0,M,M,0,1
20451,dulceana,1.0,F,F,1,1
98840,adlina,1.0,F,F,1,1
56019,maiki,0.9751984126984128,M,M,0,1
63243,nicki,1.0,M,M,0,1
47024,julcimara,1.0,F,F,1,1
82620,walmi,0.5294117647058824,M,M,0,1
90692,garci,0.5121951219512195,F,F,1,1
25983,eriana,1.0,F,F,1,1
38157,indiele,1.0,F,F,0,1
18890,dilsonei,1.0,M,M,1,1
9357,beliene,1.0,F,F,0,1
33458,glaucinea,1.0,F,F,0,1
84097,willander,1.0,M,M,1,1
7221,ariana,0.996096799375488,F,F,1,1
35044,hebson,1.0,M,M,1,1
65169,omaira,1.0,F,F,0,1
89767,kellyani,1.0,F,F,1,1
8601,aurelisio,1.0,M,M,1,1
57180,marilaque,1.0,F,F,1,1
83936,wildem,1.0,M,M,1,1
20403,duciene,1.0,F,F,0,1
7835,arquelau,1.0,M,M,1,1
25831,erbet,1.0,M,F,0,1
7483,aristela,1.0,F,F,1,1
57408,marinez,0.9966551893753074,F,F,1,1
83256,welitom,0.99439434560078,M,M,1,1
53682,lizianne,1.0,F,F,1,1
36006,heryk,1.0,M,M,1,1
98123,ketein,1.0,F,F,1,1
9437,benaldo,1.0,M,M,1,1
71092,rosalira,1.0,F,F,1,1
35256,helenita,1.0,F,F,1,1
27035,estevison,1.0,M,M,1,1
82990,washngton,1.0,M,M,1,1
18728,dijanildo,1.0,M,M,1,1
66799,percilia,1.0,F,F,1,1
43136,jesseane,1.0,F,F,1,1
33825,glessia,1.0,F,F,1,1
7517,ariston,1.0,M,M,1,1
62986,neusimara,1.0,F,F,1,1
71580,rosileide,0.9970057163596768,F,F,1,1
86648,hidalina,1.0,F,F,1,1
48653,kauanne,1.0,F,F,1,1
55370,luzidete,1.0,F,F,1,1
93125,adleia,1.0,F,F,1,1
83258,welitton,1.0,M,M,1,1
83156,welberth,1.0,M,M,1,1
63597,nilsso,1.0,M,M,1,1
38860,irismara,1.0,F,F,1,1
43925,joandro,1.0,M,M,1,1
2057,afrania,1.0,F,F,1,1
86126,alivina,1.0,F,F,0,1
70157,robertison,1.0,M,M,0,1
63594,nilsonei,1.0,M,M,1,1
2558,aitala,1.0,F,F,1,1
55294,luzamira,1.0,F,F,1,1
97859,soia,1.0,F,F,1,1
38091,inaina,1.0,F,F,0,1
48728,kayllon,1.0,M,M,1,1
40256,izanil,0.6082474226804123,F,F,1,1
37617,ilarino,1.0,M,M,0,1
38432,ioran,1.0,M,M,1,1
91190,gidalmo,1.0,M,M,1,1
1703,adomiro,1.0,M,M,1,1
63406,nilaide,1.0,F,F,1,1
24619,elody,1.0,F,F,1,1
80039,valdiria,1.0,F,F,1,1
75627,stephanye,1.0,F,F,1,1
11868,cibelly,1.0,F,F,0,1
25874,ercino,1.0,M,M,0,1
60383,monica,0.9970185848085128,F,F,1,1
74381,sidnel,1.0,M,M,1,1
59465,micheila,1.0,F,F,0,1
73875,severia,1.0,F,F,0,1
21418,edilazio,1.0,M,M,1,1
52716,lidelson,1.0,M,M,1,1
75240,smith,1.0,M,F,1,1
79462,valcionir,1.0,M,M,0,1
34757,hallyson,1.0,M,M,1,1
26724,erzeli,1.0,F,F,0,1
72608,sabrynna,1.0,F,F,1,1
65569,orinete,1.0,F,F,1,1
17913,deusimara,1.0,F,F,1,1
84047,wilio,1.0,M,M,1,1
59320,merivan,0.6816143497757847,F,M,1,1
37733,ildeon,1.0,M,M,1,1
96057,khaylane,1.0,F,F,1,1
6672,antone,1.0,M,M,1,1
24770,elson,0.9963611211355708,M,M,1,1
33792,glendo,1.0,M,M,1,1
75072,sirlane,0.979478409576742,F,F,1,1
20989,edelweiss,1.0,F,F,1,1
935,adelzon,1.0,M,M,1,1
57614,mariucha,1.0,F,F,1,1
98087,anndre,1.0,M,M,1,1
51211,layce,1.0,F,F,1,1
6612,anorino,1.0,M,M,1,1
5088,amalrilio,1.0,M,M,1,1
98893,valdecer,1.0,M,M,1,1
20759,ecione,0.6819787985865724,F,F,0,1
2977,albilene,1.0,F,F,0,1
22991,eldaci,1.0,F,F,1,1
85676,zirlandia,1.0,F,F,1,1
86104,josineldo,1.0,M,M,1,1
18835,dilete,1.0,F,F,1,1
16783,delandio,1.0,M,M,1,1
94866,eulaide,1.0,F,F,1,1
94521,gedilsa,1.0,F,F,1,1
1591,adller,1.0,M,M,1,1
77397,telna,1.0,F,F,1,1
73648,selson,1.0,M,M,1,1
96929,jadielso,1.0,M,M,0,1
19089,dinoelia,1.0,F,F,0,1
90860,iste,1.0,F,F,1,1
87318,janailsom,1.0,M,M,1,1
80404,valsirene,1.0,F,F,0,1
34860,hariberto,1.0,M,M,0,1
24541,ellyan,1.0,M,M,1,1
53564,liu,0.5901060070671378,M,M,1,1
82651,walsir,1.0,M,M,0,1
63312,nidiana,1.0,F,F,1,1
40529,jacimario,1.0,M,M,1,1
20780,eclezia,1.0,F,F,0,1
4931,alyne,1.0,F,F,1,1
35474,heloides,1.0,F,M,1,1
9793,bhrenda,1.0,F,F,1,1
70243,rochael,1.0,M,M,1,0
91226,anal,1.0,F,M,1,1
41675,janildo,1.0,M,M,1,1
75959,sulaine,1.0,F,F,1,1
49327,kerolin,1.0,F,F,1,1
45989,josimeira,1.0,F,F,0,1
28568,fabriciele,1.0,F,F,0,1
36936,iaslane,1.0,F,F,1,1
99102,zolaide,1.0,F,F,1,1
13318,cleilde,1.0,F,F,1,1
14678,crisna,1.0,F,F,1,1
3955,alesxandra,1.0,F,F,1,1
1455,adinilton,1.0,M,M,1,1
92947,aandreia,1.0,F,F,1,1
36413,hismael,1.0,M,M,1,1
23373,elexsandra,1.0,F,F,1,1
73479,sedenei,1.0,M,M,1,1
24154,elislangela,1.0,F,F,1,1
65503,oreste,0.9874015748031496,M,M,1,1
82873,wani,0.8868501529051988,F,F,0,1
81446,verdiano,1.0,M,M,1,1
69056,reneida,1.0,F,F,1,1
31529,gerlina,1.0,F,F,0,1
1417,adinailda,1.0,F,F,1,1
9236,barroso,1.0,M,M,1,1
6522,anizabel,1.0,F,F,1,1
12297,cladeilson,1.0,M,M,1,1
20992,edelza,1.0,F,F,0,1
46571,juana,1.0,F,F,1,1
50911,laudilino,1.0,M,M,1,1
81870,vinete,1.0,F,F,1,1
37087,idalmira,1.0,F,F,0,1
100415,jardele,1.0,F,F,1,1
6419,anielson,1.0,M,M,1,1
97243,iberaldo,1.0,M,M,1,1
23953,elinson,1.0,M,M,1,1
68232,raphaelly,1.0,F,F,1,1
48467,kathlein,1.0,F,F,1,1
78273,thyego,1.0,M,M,1,1
3807,aleksandre,1.0,M,M,1,1
90315,lucidala,1.0,F,F,1,1
20902,edejair,1.0,M,M,0,1
84618,yadson,1.0,M,M,1,1
30684,gelcione,0.7394366197183099,M,M,1,1
86341,emaoel,1.0,M,M,1,1
39576,italu,1.0,M,M,1,1
21791,edirene,1.0,F,F,0,1
71296,roselle,1.0,F,F,1,1
79403,valbi,1.0,M,M,1,1
39390,isnelda,1.0,F,F,1,1
63575,nilsete,1.0,F,F,1,1
41942,jardem,1.0,M,M,1,1
4025,alexmar,1.0,M,M,1,1
34522,gulherme,0.990053557765876,M,M,1,1
79050,uilhian,1.0,M,M,1,1
6039,andriara,1.0,F,F,1,1
76894,tanila,1.0,F,F,1,1
48732,kaynan,0.9681159420289857,M,M,1,1
72372,ruival,1.0,M,M,1,1
45818,josevete,1.0,F,F,1,1
84885,yorrana,1.0,F,F,1,1
23887,elinaria,1.0,F,F,0,1
37228,idelvina,1.0,F,F,0,1
62902,neumo,1.0,M,M,1,1
85569,zildeni,1.0,F,F,1,1
82287,walcides,1.0,M,M,0,1
25531,enicleide,1.0,F,F,0,1
2511,airina,1.0,F,F,0,1
97532,reysson,1.0,M,M,1,1
68537,rayslane,1.0,F,F,1,1
38145,indhira,1.0,F,F,1,1
79627,valdelisia,1.0,F,F,1,1
71240,roselaine,0.9974201685489882,F,F,1,1
91031,iudener,1.0,F,M,1,1
84992,yukiko,1.0,F,F,1,1
77620,thaciany,1.0,F,F,1,1
79150,ullisses,1.0,M,M,1,1
7861,arquivaldo,1.0,M,M,1,1
59562,miclecia,1.0,F,F,0,1
8435,audeneide,1.0,F,F,1,1
6553,annderson,1.0,M,M,1,1
79284,vadeci,0.7472527472527473,M,F,1,1
94428,brean,1.0,M,M,1,1
71055,rosailton,1.0,M,M,1,1
20755,ecimara,1.0,F,F,1,1
75310,solanio,1.0,M,M,1,1
41653,janieri,0.8024691358024691,F,F,0,1
41200,jamele,0.5145631067961165,F,F,0,1
15196,daiva,1.0,F,F,1,1
55757,madson,0.993891797556719,M,M,1,1
40925,jailse,1.0,F,F,1,1
86057,elesia,1.0,F,F,1,1
89974,vagine,1.0,M,F,0,1
65644,orlanilda,1.0,F,F,1,1
59890,miraides,1.0,F,F,1,1
90494,valdeila,1.0,F,F,1,1
90385,feliipe,1.0,M,M,0,1
8085,assucena,1.0,F,F,1,1
64050,noenir,1.0,F,F,0,1
52281,leridiane,1.0,F,F,1,1
45219,jordilei,1.0,M,M,0,1
47917,kaili,1.0,F,F,1,1
12449,claridina,1.0,F,F,0,1
33396,glasieli,1.0,F,F,1,1
89780,delsinete,1.0,F,F,1,1
16301,dayselane,1.0,F,F,1,1
13782,cleubson,1.0,M,M,0,1
60406,monikele,1.0,F,F,1,1
5484,anaice,1.0,F,F,1,1
57289,mariluci,0.9951888381044022,F,F,1,1
33814,gleonice,1.0,F,F,0,1
25523,enias,1.0,M,M,1,1
89584,maitom,1.0,M,M,1,1
88082,deigles,1.0,M,M,1,1
1173,adernoel,1.0,M,M,1,1
36921,iarli,0.8768472906403941,M,F,0,1
60575,mrilza,1.0,F,F,1,1
84935,ysaac,1.0,M,M,1,1
21321,edieme,1.0,F,F,1,1
87259,sidya,1.0,F,F,1,1
96456,jelsina,1.0,F,F,0,1
10518,carinna,1.0,F,F,0,1
19913,domisio,1.0,M,M,0,1
50307,ladielson,1.0,M,M,0,1
20216,dorlinda,1.0,F,F,1,1
30008,frantchesco,1.0,M,M,1,1
95407,berlan,1.0,M,M,1,1
10281,caitano,1.0,M,M,1,1
95589,linael,1.0,M,M,1,1
58516,mauritonio,1.0,M,M,1,1
94656,salatial,1.0,M,M,1,1
62804,nesto,1.0,M,M,1,1
4988,alzevir,1.0,M,M,0,1
99843,catiusse,1.0,F,F,0,1
85795,zuilton,1.0,M,M,1,1
68521,rayone,0.8981481481481481,M,M,1,1
95001,mardile,1.0,F,F,1,1
72529,ryan,0.9884950339323684,M,M,1,1
813,adeles,1.0,F,M,1,1
30889,geneir,0.7474048442906575,M,M,1,1
38666,irany,0.8752535496957403,F,F,1,1
13728,clery,0.831081081081081,F,F,1,1
89251,neydi,1.0,F,F,1,1
2950,albertin,1.0,M,M,1,1
33632,gleiciele,1.0,F,F,0,1
2694,alaides,0.9102290076335878,F,F,1,1
54032,lorivane,1.0,F,F,1,1
69017,renara,1.0,F,F,0,1
34961,havyla,1.0,F,F,1,1
93954,adezino,1.0,M,M,1,1
62978,neusiana,1.0,F,F,1,1
24498,elle,1.0,F,F,1,1
50501,lair,0.5450225112556278,M,F,1,1
81759,vildete,1.0,F,F,1,1
24854,elvany,1.0,F,F,1,1
30487,geicielly,1.0,F,F,1,1
19935,donatha,1.0,M,F,1,1
82144,vonilson,1.0,M,M,1,1
79387,valber,0.991497975708502,M,M,0,1
77815,thamares,1.0,F,F,1,1
17649,derlita,1.0,F,F,0,1
32457,gildesson,1.0,M,M,1,1
31484,gerivania,1.0,F,F,1,1
28823,felisa,1.0,F,F,1,1
77396,telmo,0.9972421400992828,M,M,1,1
34705,halef,1.0,M,M,0,1
69171,renson,1.0,M,M,1,1
66512,padua,1.0,M,F,1,1
80177,valerio,0.9917002417405318,M,M,0,1
20110,doriani,1.0,F,F,1,1
78646,tunay,1.0,M,M,1,1
53500,lisis,1.0,F,F,1,1
56095,maione,0.660245183887916,F,F,0,1
98918,yoco,1.0,F,F,1,1
39729,iusley,1.0,M,M,1,1
34781,hamiton,1.0,M,M,1,1
96621,nildi,1.0,F,F,1,1
12396,claldina,1.0,F,F,1,1
78233,thomas,0.9925892989476804,M,M,1,1
7135,aresia,1.0,F,F,1,1
6299,angelis,0.8755020080321285,F,M,1,1
58203,maryella,1.0,F,F,1,1
71042,rosadalia,1.0,F,F,1,1
41465,jandira,0.9971183075328144,F,F,0,1
28037,evela,1.0,F,F,1,1
38413,ionici,1.0,F,F,0,1
17632,derlei,0.9200726612170754,M,M,1,1
12402,clandio,1.0,M,M,1,1
17918,deusinaldo,1.0,M,M,1,1
89711,raimunndo,1.0,M,M,1,1
41494,janduhy,1.0,M,M,1,1
65286,onidio,1.0,M,M,1,1
11578,charlean,1.0,M,M,0,1
75173,sivani,0.7947761194029851,F,F,1,1
10594,carlessandro,1.0,M,M,1,1
23996,elioni,0.5944055944055944,F,F,0,1
83362,welta,1.0,F,F,1,1
84226,wilne,1.0,F,F,1,1
77956,thatila,1.0,F,F,1,1
100438,klerson,1.0,M,M,1,1
13305,cleido,1.0,M,M,1,1
31122,gentile,0.6487804878048781,F,F,0,1
15047,dagmar,0.8712770862148456,F,M,1,1
33339,gladir,0.7027027027027027,F,F,0,1
29552,francileia,1.0,F,F,1,1
32918,giovanei,1.0,M,M,1,1
62594,nemezio,1.0,M,M,1,1
14866,crizia,1.0,F,F,1,1
30427,gedilene,1.0,F,F,1,1
85417,zenilto,1.0,M,M,1,1
61165,nairele,1.0,F,F,0,1
23784,eliezio,1.0,M,M,0,1
87622,kesa,1.0,F,F,1,1
18160,deyde,1.0,F,F,1,1
71814,rossani,1.0,F,F,1,1
20370,duana,1.0,F,F,1,1
41885,jaquilene,1.0,F,F,0,1
17997,deuzelia,1.0,F,F,0,1
53793,lohuama,1.0,F,F,1,1
75361,solinei,0.5363636363636364,M,F,1,1
94364,alaite,1.0,F,F,1,1
12759,claudimeire,1.0,F,F,0,1
13441,clelson,1.0,M,M,1,1
48985,kelismar,0.5432098765432098,F,M,0,1
69431,riad,1.0,M,M,1,1
83979,wilemberg,1.0,M,M,0,1
59997,mirianne,1.0,F,F,1,1
62244,neildson,1.0,M,M,1,1
34219,graziely,1.0,F,F,1,1
37859,ilisangela,1.0,F,F,1,1
52983,lilo,1.0,M,M,1,1
82769,wanderlaine,1.0,F,F,0,1
76018,sulla,1.0,F,F,1,1
13190,cleiciara,1.0,F,F,0,1
40841,jahir,1.0,M,M,0,1
46525,jozilaine,1.0,F,F,0,1
21796,edirlandia,1.0,F,F,1,1
29316,fraci,0.6888888888888889,F,F,1,1
79740,valdenusa,1.0,F,F,1,1
95755,leiuma,1.0,F,F,1,1
65484,orencia,1.0,F,F,0,1
95481,arnaldinho,1.0,M,M,1,1
86666,queiros,1.0,M,M,1,1
16472,deiane,1.0,F,F,1,1
25400,enede,1.0,F,F,1,1
52286,lerindo,1.0,M,M,1,1
95882,jennifr,1.0,F,M,0,1
10009,braule,1.0,M,M,0,1
93346,geiovanna,1.0,F,F,0,1
76326,syria,1.0,F,F,1,1
73862,setsuko,1.0,F,F,1,1
86973,carlieli,1.0,F,F,0,1
94742,evyli,1.0,F,F,1,1
89226,juice,1.0,F,F,0,1
10991,catielen,1.0,F,F,0,1
39512,itacira,1.0,F,F,1,1
75795,suelci,0.7698412698412699,F,F,1,1
30403,gedelson,1.0,M,M,1,1
36581,hoseias,1.0,M,M,1,1
93576,holegario,1.0,M,M,1,1
85921,cenize,1.0,F,F,0,1
74013,shaylane,1.0,F,F,1,1
4045,alexsonia,1.0,F,F,1,1
91839,edmam,1.0,M,M,1,1
82031,vivani,1.0,F,F,1,1
10378,calmir,1.0,M,M,0,1
32119,gicarla,1.0,F,F,0,1
60503,moroni,1.0,M,M,1,1
24912,elydia,1.0,F,F,1,1
60143,misilene,1.0,F,F,1,1
50528,laisiane,1.0,F,F,1,1
96538,cicelio,1.0,M,M,0,1
5690,anasion,1.0,M,M,1,1
85141,zakia,1.0,F,F,1,1
54337,lucelaine,1.0,F,F,1,1
68009,ramonia,1.0,F,F,0,1
50725,larieli,1.0,F,F,0,1
53893,lorany,1.0,F,F,1,1
99654,carolinhe,1.0,F,F,0,1
3491,aldervan,1.0,M,M,1,1
5418,anacris,1.0,F,M,1,1
97603,santulina,1.0,F,F,0,1
43840,joade,1.0,M,M,1,1
60210,mitian,1.0,F,F,1,1
86719,wignei,1.0,M,M,1,1
43262,jetulho,1.0,M,M,1,1
68726,regirene,1.0,F,F,0,1
62016,nazareno,0.9946718059176964,M,M,1,1
74047,shelida,1.0,F,F,0,1
8043,asia,1.0,F,F,1,1
79650,valdembergue,1.0,M,M,1,1
38951,irneu,1.0,M,M,1,1
3950,alessio,1.0,M,M,1,1
99854,ivaneilde,1.0,F,F,1,1
2705,alailso,1.0,M,M,1,1
52279,lerice,1.0,F,F,0,1
31183,geonete,1.0,F,F,1,1
90937,jarbison,1.0,M,M,1,1
73300,saskya,1.0,F,F,1,1
54198,lourisvaldo,1.0,M,M,1,1
7067,arculana,1.0,F,F,1,1
18935,dimaura,1.0,F,F,1,1
33334,gladimar,0.5,F,M,1,1
45120,jorana,1.0,F,F,1,1
90002,sidneiy,1.0,M,F,1,1
23967,eliomara,1.0,F,F,1,1
77168,tatyelle,1.0,F,F,0,1
14951,daciara,1.0,F,F,0,1
27773,euzani,1.0,F,F,1,1
56478,maranubia,1.0,F,F,1,1
91004,susaneide,1.0,F,F,1,1
1543,adjaine,1.0,F,F,1,1
91704,nilsane,1.0,F,F,1,1
39631,itatiaia,1.0,F,F,1,1
29305,fostina,1.0,F,F,1,1
78146,theyson,1.0,M,M,1,1
93271,caleane,1.0,F,F,1,1
29512,franciesca,1.0,F,F,1,1
3520,aldia,1.0,F,F,1,1
36064,hevert,1.0,M,M,1,1
34676,haina,1.0,F,F,1,1
19519,diusa,1.0,F,F,1,1
34715,halessa,1.0,F,F,1,1
65642,orlani,0.7151162790697675,F,F,1,1
61149,naini,1.0,F,F,1,1
54423,lucibete,1.0,F,F,1,1
35768,herielton,1.0,M,M,1,1
60387,monicke,1.0,F,M,1,1
63203,nicelio,1.0,M,M,0,1
49801,kielse,1.0,M,F,1,1
98291,lgia,1.0,F,F,1,1
93039,halife,1.0,M,M,0,1
86370,aldembergue,1.0,M,M,0,1
51040,lauriani,1.0,F,F,0,1
96565,morcir,1.0,M,M,1,1
32870,giogio,1.0,M,M,1,1
79034,uilde,0.6866666666666666,M,F,1,1
27298,eudezia,1.0,F,F,0,1
31227,georgiton,1.0,M,M,1,1
57956,marnisia,1.0,F,F,1,1
42222,jaudir,1.0,M,M,0,1
68616,regeani,1.0,F,F,1,1
76159,suyenne,1.0,F,F,1,1
86172,kettilen,1.0,F,F,0,1
36654,hudison,1.0,M,M,1,1
100540,ico,1.0,M,M,1,1
9237,barry,1.0,M,M,1,1
58861,medino,1.0,M,M,1,1
65133,olivir,1.0,M,M,0,1
94537,nilvacir,1.0,F,F,1,1
74497,sildelene,1.0,F,F,1,1
34929,harysson,1.0,M,M,1,1
65962,osmai,1.0,M,M,1,1
77522,terco,1.0,M,M,1,1
33786,glena,1.0,F,F,1,1
23909,elinelma,1.0,F,F,0,1
95074,kaylainne,1.0,F,F,1,1
32679,gilsileide,1.0,F,F,0,1
50044,klelia,1.0,F,F,0,1
43660,jiliel,1.0,M,M,0,1
87745,leima,1.0,F,F,1,1
33851,gleuton,1.0,M,M,1,1
59646,mikeli,0.9769230769230768,F,F,0,1
29095,flavia,0.9954425747315138,F,F,1,1
83493,weniston,1.0,M,M,1,1
24525,ellisa,1.0,F,F,1,1
32664,gilseppe,1.0,M,M,1,1
20518,dulcineide,1.0,F,F,0,1
98446,irailsa,1.0,F,F,1,1
58653,maxsueli,1.0,F,F,1,1
13119,cledio,1.0,M,M,1,1
71529,rosiellen,1.0,F,F,0,1
68717,reginilda,1.0,F,F,0,1
87817,riquielme,1.0,M,M,0,1
88104,zesilda,1.0,F,F,1,1
59203,merciane,1.0,F,F,1,1
64278,nubson,1.0,M,M,1,1
63801,nislei,0.6710526315789473,F,F,1,1
96191,alsson,1.0,M,M,1,1
54941,luiara,1.0,F,F,0,1
55711,madalene,1.0,F,F,1,1
47422,jurassi,0.6407369498464688,F,F,1,1
51132,lauriza,1.0,F,F,0,1
86078,jocedi,1.0,F,M,1,1
31803,gesival,1.0,M,M,1,0
12714,claudicir,1.0,M,M,0,1
90712,luzieldo,1.0,M,M,1,1
65812,osai,1.0,M,M,1,1
55765,maedna,1.0,F,F,1,1
99936,jedilene,1.0,F,F,1,1
32799,gilzelia,1.0,F,F,1,1
89642,verronica,1.0,F,F,1,1
60797,nacy,1.0,F,F,1,1
94911,lorrival,1.0,M,M,1,1
52338,lethicia,1.0,F,F,1,1
879,adelmir,1.0,M,M,0,1
47140,juliesse,1.0,F,F,1,1
97285,jeovanil,1.0,M,M,1,1
1357,adiles,0.8504056795131846,F,M,1,1
42451,jedias,1.0,M,M,1,1
51545,leidilane,1.0,F,F,1,1
51427,ledio,1.0,M,M,1,1
73344,saumir,1.0,M,M,0,1
62303,neirton,1.0,M,M,1,1
92650,bilma,1.0,F,F,1,1
7888,artemira,1.0,F,F,0,1
87798,wiillian,1.0,M,M,0,1
91342,weylla,1.0,F,F,1,1
41069,jakeliny,1.0,F,F,0,1
78980,uermerson,1.0,M,M,1,1
56883,marfizia,1.0,F,F,1,1
28550,fabiula,0.994365441373759,F,F,1,1
59838,minerva,1.0,F,F,1,1
100330,gleitom,1.0,M,M,1,1
27478,eulinete,1.0,F,F,1,1
67068,polivania,1.0,F,F,1,1
74906,sinandra,1.0,F,F,1,1
51280,lazoro,1.0,M,M,1,1
66531,palmeron,1.0,M,M,1,1
65828,osaneide,1.0,F,F,1,1
82358,waldenice,1.0,F,F,0,1
65314,onis,1.0,M,M,1,1
73104,sandrielle,1.0,F,F,0,1
62332,neiverson,1.0,M,M,1,1
99310,diessi,1.0,F,F,1,1
34458,guilberth,1.0,M,M,1,1
27706,euslene,1.0,F,F,1,1
18761,dilan,0.95,M,M,1,1
80132,valdorino,1.0,M,M,1,1
97869,alasi,1.0,M,F,1,1
35639,henis,1.0,M,F,1,1
18896,dilvaci,1.0,F,F,1,1
77272,taynna,1.0,F,F,1,1
65310,onirce,1.0,F,F,1,1
32317,gilcilaine,1.0,F,F,0,1
49067,kelsilene,1.0,F,F,0,1
80295,valmirete,1.0,F,F,0,1
64587,odelcio,1.0,M,M,0,1
73026,sandia,1.0,F,F,1,1
80298,valmirio,1.0,M,M,0,1
78761,ubaldo,1.0,M,M,1,1
89291,adrielisson,1.0,M,M,0,1
99785,geneison,1.0,M,M,1,1
81425,verany,1.0,F,F,1,1
82648,walquires,1.0,M,M,0,1
78343,ticiany,1.0,F,F,1,1
76352,tacianne,1.0,F,F,1,1
36114,hianne,1.0,F,F,1,1
83763,wevisson,1.0,M,M,1,1
66957,phillype,1.0,M,M,1,1
93507,rojelma,1.0,F,F,0,1
53372,lionir,0.626984126984127,M,M,0,1
70374,rodoaldo,1.0,M,M,1,1
88251,cecilha,1.0,F,F,0,1
53120,lindenir,1.0,F,F,1,1
55541,lyzia,1.0,F,F,1,1
10907,cassila,1.0,F,F,0,1
16515,deija,1.0,F,F,1,1
22611,egidio,1.0,M,M,1,1
97529,eychila,1.0,F,F,0,1
20553,duplanil,1.0,M,M,1,1
21633,edinam,1.0,M,M,1,1
27882,evamara,1.0,F,F,1,1
54294,luania,1.0,F,F,1,1
96261,cinobilino,1.0,M,M,0,1
57109,mariely,1.0,F,F,0,1
50330,ladslau,1.0,M,M,1,1
20204,dorizete,0.7135593220338983,F,F,1,1
60610,muria,1.0,F,F,1,1
88200,alvidio,1.0,M,M,1,1
70251,rochelle,1.0,F,F,1,0
56061,mailme,1.0,F,F,0,1
15527,dame,1.0,F,F,1,1
55206,lusimeire,1.0,F,F,0,1
20282,dougival,1.0,M,M,1,1
69869,ritamaria,1.0,F,F,1,1
83546,werica,1.0,F,F,0,1
72812,salvan,1.0,M,M,1,1
64135,noranei,1.0,F,F,1,1
18881,dilseu,1.0,M,M,1,1
88119,naon,1.0,M,M,1,1
28892,fernada,0.991496290935408,F,F,1,1
2522,airlis,1.0,F,M,1,1
53058,lindalmira,1.0,F,F,1,1
24112,elisene,1.0,F,F,0,1
13463,clemi,0.7818181818181819,F,F,0,1
29030,fladison,1.0,M,M,1,1
57730,markiane,1.0,F,F,1,1
54406,luciani,0.9671630393279878,F,F,1,1
22118,edmilsa,1.0,F,F,1,1
56768,marconis,1.0,M,M,1,1
75978,suleide,1.0,F,F,1,1
48385,kassius,1.0,M,M,1,1
77851,thamy,1.0,F,F,1,1
14223,clorivaldo,1.0,M,M,0,1
41150,jaliton,1.0,M,M,1,1
43039,jerverson,1.0,M,M,1,1
32531,giliade,1.0,M,F,1,1
85008,yuly,1.0,F,F,1,1
2301,agripina,1.0,F,F,1,1
98184,marizam,0.5094339622641509,F,F,1,1
39348,ismayle,1.0,M,F,1,1
100295,abricio,1.0,M,M,1,1
90401,decir,0.5813953488372093,M,M,0,1
98445,aliine,1.0,F,F,0,1
61314,nalvo,1.0,M,M,1,1
75711,stphanie,1.0,F,F,1,1
55465,luzivania,1.0,F,F,1,1
57496,mariquinha,1.0,F,F,0,1
60094,mirrail,1.0,M,M,1,1
36830,ialas,1.0,M,M,1,1
96535,arselina,1.0,F,F,1,1
34909,harro,1.0,M,M,1,1
82085,vladineia,1.0,F,F,1,1
39517,itaele,1.0,F,F,1,1
71916,rowena,1.0,F,F,1,1
52389,leudemir,1.0,M,M,1,1
35752,heribert,1.0,M,M,0,1
46744,juciara,0.9966422196695236,F,F,0,1
12934,clausete,1.0,F,F,1,1
8597,aurelino,0.9941870706358992,M,M,1,1
50416,lagila,1.0,F,F,1,1
90197,diunizia,1.0,F,F,1,1
44499,joelington,1.0,M,M,1,1
51157,lauzenir,1.0,F,F,0,1
39896,ivanilci,1.0,F,F,1,1
75823,suelida,1.0,F,F,1,1
83686,wesley,0.9929773226042428,M,M,1,1
100284,valuiria,1.0,F,F,1,1
67734,raimilton,1.0,M,M,0,1
99069,lindenez,1.0,F,F,1,1
58167,marvia,1.0,F,F,1,1
48491,katiana,1.0,F,F,1,1
25401,enedes,1.0,F,F,1,1
75872,suemy,1.0,F,F,1,1
7609,arledo,1.0,M,M,1,1
96955,melitino,1.0,M,M,1,1
67104,porfiria,1.0,F,F,1,1
82177,waderson,1.0,M,M,1,1
80283,valmique,1.0,M,M,0,1
2407,aiessa,1.0,F,F,1,1
65318,onisvaldo,1.0,M,M,1,1
59667,milady,1.0,F,F,1,1
84189,willo,1.0,M,M,1,1
84089,willames,0.9921421250427058,M,M,1,1
68583,reciel,1.0,M,M,0,1
2713,alaine,0.9842050750906266,F,F,0,1
